Descrição do Produto,Data de Venda,Preço Médio,Acessórios,Novo Preço
RENAULT-KWID,2023-12-22,60000,"Sistema de Som Premium, Sistema de Navegação, Faróis de LED",66800
RENAULT-DUSTER OROCH,2023-12-22,110000,Sistema de Navegação,112000
RENAULT-KWID,2023-12-22,60000,"Rodas de Liga Leve, Tapetes Personalizados, Sistema de Alarme e Rastreamento, Faróis de LED",67300
RENAULT-SANDERO,2023-12-23,75000,"Faróis de LED, Sensores de Estacionamento e Câmera de Ré, Sistema de Navegação, Sistema de Alarme e Rastreamento",82300
RENAULT-KWID,2023-12-24,60000,Assentos de Couro,65000
RENAULT-DUSTER,2023-12-25,100000,Faróis de LED,101800
RENAULT-KWID,2023-12-26,60000,"Assentos de Couro, Rodas de Liga Leve, Kit Multimídia",71500
RENAULT-KWID,2023-12-26,60000,Sensores de Estacionamento e Câmera de Ré,61500
RENAULT-DUSTER,2023-12-27,100000,"Sensores de Estacionamento e Câmera de Ré, Kit Multimídia",105500
RENAULT-KWID,2023-12-27,60000,"Assentos de Couro, Acessórios de Segurança, Sistema de Navegação",71500
RENAULT-DUSTER,2023-12-28,100000,"Sensores de Estacionamento e Câmera de Ré, Tapetes Personalizados, Acessórios de Segurança",107000
RENAULT-KWID,2023-12-28,60000,"Tapetes Personalizados, Rodas de Liga Leve, Sistema de Navegação, Kit Multimídia",69500
RENAULT-KWID,2023-12-28,60000,"Teto Solar, Kit Estético, Assentos de Couro, Sistema de Navegação",72500
RENAULT-SANDERO,2023-12-29,75000,"Acessórios de Segurança, Sistema de Navegação, Teto Solar, Rodas de Liga Leve",87500
RENAULT-STEPWAY,2023-12-29,95000,"Sistema de Som Premium, Acessórios de Segurança",102500
RENAULT-DUSTER OROCH,2023-12-29,110000,"Teto Solar, Sistema de Som Premium, Sistema de Alarme e Rastreamento",118500
RENAULT-STEPWAY,2023-12-30,95000,Sistema de Navegação,97000
RENAULT-KWID,2023-12-30,60000,"Sistema de Navegação, Sistema de Alarme e Rastreamento, Faróis de LED, Teto Solar",69300
